hip,ra,dec,mag
575,1.74821471,65.53871712,10.41
576,1.74865205,53.97486354,8.97
577,1.75224377,32.87028504,9.61
578,1.75830785,22.84448874,8.29
579,1.76013095,5.28802852,8.3
580,1.76070652,-18.82075644,8.26
581,1.76733158,6.87560716,7.44
582,1.77282221,62.39273559,9.52
583,1.77548337,85.40485204,8.2
584,1.78153664,-15.8500875,8.68
585,1.78247366,-30.56157424,8.65
586,1.78337358,-23.03614091,10.52
587,1.78443728,-37.92914178,8.41
588,1.78467109,14.82374977,9.18
589,1.78773802,72.77522493,8.42
590,1.79242036,34.85379559,8.86
591,1.79591904,46.75702172,7.92
592,1.79749147,65.65378903,10.97
593,1.80243855,6.20432213,8.85
594,1.80277966,-60.07079486,9.31
595,1.80323898,-22.02767673,10.28
596,1.80537479,-76.73091557,7.56
597,1.80711473,73.21031615,7.88
598,1.81025436,20.55571109,7.99
599,1.81427471,-41.88961116,8.23
600,1.81932153,-27.39777661,8.52
601,1.82562487,20.96559758,9.14
602,1.82613856,-17.38703103,6.2
603,1.82662524,7.70357212,7.64
604,1.8312275,1.66508782,8.95
605,1.84185174,-56.83685592,7.48
606,1.84336535,-25.35632439,7.06
607,1.84365756,26.45088655,7.33
608,1.84541576,-11.03336416,8.98
609,1.846808,-11.61292585,8.24
611,1.85529015,-40.47958534,8.53
610,1.85792694,-77.49416581,8.4
612,1.86689616,-56.01154749,7.48
613,1.87192965,17.30273637,8.46
614,1.88011435,35.74574814,9.29
615,1.88037933,24.32121026,8.57
616,1.88473813,-23.8189432,8.7
617,1.88664549,32.0087787,8.5
618,1.89458828,-60.64172798,8.37
619,1.89656955,31.66904954,6.87
621,1.90242019,-62.31507712,7.5
620,1.90322981,-86.03877612,7.39
624,1.90586322,-45.11929768,8.19
622,1.90590207,52.7729898,7.56
623,1.9059326,53.52653764,8.37
625,1.90698995,40.07851976,7.39
626,1.90808924,40.14799609,6.73
627,1.91294578,-66.89539355,8.66
628,1.91669898,1.09425779,8.25
629,1.91744231,-7.92129475,8.47
630,1.91877912,39.03491283,8.01
631,1.92048929,-65.93227482,6.83
632,1.92073631,-56.24955098,9.06
633,1.92754108,-46.54467295,8.79
634,1.92958594,37.18548226,7.44
635,1.93373158,-2.54868621,6.43
636,1.94523194,-22.50847542,5.93
637,1.94918183,-5.48598739,8.85
638,1.95053905,21.74565092,9.86
639,1.9516436,-11.12904586,8.55
640,1.96245593,38.72179052,7.66
641,1.96614972,55.57701937,7.82
642,1.97130707,-4.85488887,9.08
643,1.97791396,-42.15385091,10.1
644,1.97877242,-51.25786512,8.21
645,1.99660033,-14.22671354,8.85
647,1.99715281,-78.21097486,7.79
646,1.99726573,-18.68470818,7.58
649,2.00105125,-7.5447734,7.85
648,2.00147404,-78.59876143,7.18
650,2.00316528,29.83750636,7.54
651,2.00331222,-39.61207474,9.72
652,2.00721943,31.39121911,7.12
653,2.00786726,-30.03169007,9.77
654,2.00852236,-45.38213796,8.84
655,2.01465535,-33.52933371,5.67
656,2.01924689,53.79639636,8.15
657,2.02090072,-29.41637426,9.61
658,2.02420888,4.9273342,8.19
659,2.0398659,31.37900363,7.27
660,2.0416806,71.1594885,8.51
661,2.04884213,-59.06308248,8.36
663,2.04976404,-38.28106844,10.0
662,2.04986865,-70.05583226,8.74
664,2.05038298,-2.44769895,6.18
665,2.05484372,-43.64669264,10.26
666,2.05676952,-49.7218363,10.16
667,2.05695057,29.73233165,8.31
668,2.06109217,42.22343513,8.58
669,2.06820906,-14.82446576,7.04
670,2.07061029,34.49526635,8.81
671,2.07313617,-8.82402541,5.99
673,2.07755792,-32.70083924,8.22
674,2.08770637,-42.94365592,9.86
675,2.09220806,3.44072762,8.0
676,2.09403593,21.92431268,9.4
678,2.09641108,-19.22409603,9.1
677,2.09653333,29.09082805,2.07
679,2.10111748,50.24535175,8.11
680,2.10343088,-57.19508646,8.89
681,2.1054674,-51.40075918,9.43
682,2.10705914,6.6168073,7.59
683,2.10850712,41.95798984,8.72
684,2.11027964,-44.27363457,9.86
685,2.1120568,-53.44318788,9.23
686,2.11287951,-30.06855565,9.5
687,2.11390101,17.42445447,10.73
688,2.11513383,-24.09375148,7.59
689,2.11827092,34.93452295,7.41
690,2.12406316,-66.51414469,9.26
691,2.12551099,52.33640337,7.78
692,2.12860271,-6.7921591,7.76
693,2.1302586,20.26736526,8.94
694,2.13130944,11.17153688,8.95
695,2.13694986,63.20404897,6.41
696,2.13953227,-17.57804019,6.11
697,2.14711178,53.25410868,7.76
698,2.1615853,-74.23842588,7.38
699,2.17092314,36.62742794,6.21
700,2.17953436,-2.22257211,7.05
701,2.18307102,74.21471191,7.44
702,2.18732032,-52.32795054,8.5
704,2.19110187,14.14205698,7.84
706,2.19243127,-34.79438791,7.88
707,2.19477287,-66.75946527,9.1
